Mutant_File,Mode_1_Seq,Mode_2_Sample,Mode_3_Odd,Mode_4_Even,Mode_5_HeadTail,Mode_6_Middle
mutant_1.cpp,600,22900,21300,19400,300,2300
mutant_10.cpp,-1,-1,-1,-1,-1,-1
mutant_11.cpp,500,23900,18300,17900,300,3600
mutant_12.cpp,500,26300,22200,35700,400,4100
mutant_13.cpp,500,21300,18300,18400,200,2000
mutant_14.cpp,500,5700,600,400,200,2400
mutant_15.cpp,400,57000,24600,24000,300,3800
mutant_16.cpp,-1,-1,-1,-1,-1,-1
mutant_17.cpp,-1,-1,-1,-1,-1,-1
mutant_18.cpp,-1,-1,-1,-1,-1,-1
mutant_19.cpp,600,25900,22300,58100,600,2500
mutant_2.cpp,-1,-1,-1,-1,-1,-1
mutant_20.cpp,1100,70100,29400,33200,300,24900
mutant_21.cpp,500,22500,17900,18800,200,2400
mutant_22.cpp,600,24900,40700,31300,500,4200
mutant_23.cpp,-1,-1,-1,-1,-1,-1
mutant_24.cpp,-1,-1,-1,-1,-1,-1
mutant_25.cpp,-1,-1,-1,-1,-1,-1
mutant_26.cpp,-1,-1,-1,-1,-1,-1
mutant_27.cpp,-1,-1,-1,-1,-1,-1
mutant_28.cpp,-1,-1,-1,-1,-1,-1
mutant_29.cpp,-1,-1,-1,-1,-1,-1
mutant_3.cpp,600,2000,400,400,200,1900
mutant_30.cpp,-1,-1,-1,-1,-1,-1
mutant_31.cpp,-1,-1,-1,-1,-1,-1
mutant_32.cpp,-1,-1,-1,-1,-1,-1
mutant_33.cpp,-1,-1,-1,-1,-1,-1
mutant_34.cpp,700,2800,400,300,500,1900
mutant_35.cpp,700,3600,400,400,300,1900
mutant_38.cpp,600,2400,300,300,300,2600
mutant_39.cpp,-1,-1,-1,-1,-1,-1
mutant_4.cpp,800,23500,17900,17200,100,2000
mutant_40.cpp,500,2000,200,300,200,1900
mutant_41.cpp,500,19900,16600,62400,200,2000
mutant_42.cpp,600,2900,500,500,400,2400
mutant_43.cpp,600,57500,43600,19600,200,2500
mutant_44.cpp,400,3100,300,500,400,2800
mutant_46.cpp,1500,2900,800,400,400,2600
mutant_48.cpp,600,2100,300,300,200,1900
mutant_49.cpp,-1,-1,-1,-1,-1,-1
mutant_5.cpp,600,27000,29600,35000,400,6300
mutant_6.cpp,500,2200,200,300,200,2000
mutant_7.cpp,1600,55800,56500,17200,300,2100
mutant_8.cpp,600,21600,22700,21800,500,2800
mutant_9.cpp,1200,58200,29600,37500,500,24700
