Mutant_File,Mode_1_Seq,Mode_2_Sample,Mode_3_Odd,Mode_4_Even,Mode_5_HeadTail,Mode_6_Middle
mutant_1.cpp,250,3500,4958,3958,209,958
mutant_10.cpp,-1,-1,-1,-1,-1,-1
mutant_11.cpp,292,2917,4542,5333,207,584
mutant_12.cpp,293,2876,6416,7333,167,708
mutant_13.cpp,250,2417,1875,4458,166,792
mutant_14.cpp,292,500,375,542,125,542
mutant_15.cpp,250,2751,2292,4750,208,957
mutant_16.cpp,-1,-1,-1,-1,-1,-1
mutant_17.cpp,292,3083,2000,2042,125,958
mutant_18.cpp,708,8667,6625,5251,583,708
mutant_19.cpp,292,2209,3833,3375,166,1000
mutant_2.cpp,-1,-1,-1,-1,-1,-1
mutant_20.cpp,292,2750,1708,1791,126,500
mutant_21.cpp,250,2291,2000,1916,0,667
mutant_22.cpp,333,3625,2084,2208,167,375
mutant_23.cpp,-1,-1,-1,-1,-1,-1
mutant_24.cpp,-1,-1,-1,-1,-1,-1
mutant_25.cpp,-1,-1,-1,-1,-1,-1
mutant_26.cpp,-1,-1,-1,-1,-1,-1
mutant_27.cpp,-1,-1,-1,-1,-1,-1
mutant_28.cpp,-1,-1,-1,-1,-1,-1
mutant_29.cpp,-1,-1,-1,-1,-1,-1
mutant_3.cpp,292,584,167,209,167,458
mutant_30.cpp,-1,-1,-1,-1,-1,-1
mutant_31.cpp,-1,-1,-1,-1,-1,-1
mutant_32.cpp,-1,-1,-1,-1,-1,-1
mutant_33.cpp,-1,-1,-1,-1,-1,-1
mutant_34.cpp,250,334,167,166,83,291
mutant_35.cpp,250,458,125,583,209,541
mutant_38.cpp,250,584,125,333,292,875
mutant_39.cpp,-1,-1,-1,-1,-1,-1
mutant_4.cpp,208,2500,2041,1875,41,542
mutant_40.cpp,250,500,125,459,250,792
mutant_41.cpp,292,2542,1750,1541,125,417
mutant_42.cpp,250,417,458,750,125,875
mutant_43.cpp,292,4625,5833,3834,83,958
mutant_44.cpp,250,584,125,167,209,875
mutant_46.cpp,292,458,416,459,125,708
mutant_48.cpp,209,417,166,500,291,666
mutant_49.cpp,-1,-1,-1,-1,-1,-1
mutant_5.cpp,249,2501,3292,3125,125,375
mutant_6.cpp,292,458,417,375,125,708
mutant_7.cpp,208,2625,4542,3583,167,958
mutant_8.cpp,250,2583,5000,3751,166,667
mutant_9.cpp,292,2625,4417,3583,209,667
