Mutant_File,Mode_1_Seq,Mode_2_Sample,Mode_3_Odd,Mode_4_Even,Mode_5_HeadTail,Mode_6_Middle
mutant_1.cpp,1500,7900,7500,6500,400,2600
mutant_10.cpp,-1,-1,-1,-1,-1,-1
mutant_11.cpp,1500,20600,8400,10800,200,900
mutant_12.cpp,6800,10600,8800,10000,200,3200
mutant_13.cpp,1800,10700,29800,7200,200,1500
mutant_14.cpp,1400,800,900,900,100,400
mutant_15.cpp,1900,9700,6600,24700,300,2200
mutant_16.cpp,-1,-1,-1,-1,-1,-1
mutant_17.cpp,-1,-1,-1,-1,-1,-1
mutant_18.cpp,-1,-1,-1,-1,-1,-1
mutant_19.cpp,1800,9100,8700,7100,200,1400
mutant_2.cpp,-1,-1,-1,-1,-1,-1
mutant_20.cpp,1400,13000,7400,7600,100,300
mutant_21.cpp,3000,7800,6600,5900,300,400
mutant_22.cpp,1300,8800,6900,6900,300,2600
mutant_23.cpp,-1,-1,-1,-1,-1,-1
mutant_24.cpp,-1,-1,-1,-1,-1,-1
mutant_25.cpp,-1,-1,-1,-1,-1,-1
mutant_26.cpp,-1,-1,-1,-1,-1,-1
mutant_27.cpp,-1,-1,-1,-1,-1,-1
mutant_28.cpp,-1,-1,-1,-1,-1,-1
mutant_29.cpp,-1,-1,-1,-1,-1,-1
mutant_3.cpp,1200,500,700,800,100,300
mutant_30.cpp,-1,-1,-1,-1,-1,-1
mutant_31.cpp,-1,-1,-1,-1,-1,-1
mutant_32.cpp,-1,-1,-1,-1,-1,-1
mutant_33.cpp,-1,-1,-1,-1,-1,-1
mutant_34.cpp,1300,800,700,600,100,400
mutant_35.cpp,1200,400,700,800,100,500
mutant_38.cpp,1500,700,900,800,200,400
mutant_39.cpp,-1,-1,-1,-1,-1,-1
mutant_4.cpp,1700,9100,7600,9800,200,2700
mutant_40.cpp,1300,700,700,600,100,300
mutant_41.cpp,2600,8300,6400,7500,300,2200
mutant_42.cpp,1200,600,700,800,100,400
mutant_43.cpp,1800,16000,6800,8600,400,2400
mutant_44.cpp,1400,600,700,600,100,500
mutant_46.cpp,1500,700,700,600,100,500
mutant_48.cpp,1100,700,800,800,300,500
mutant_49.cpp,-1,-1,-1,-1,-1,-1
mutant_5.cpp,15300,8000,6500,6000,300,1300
mutant_6.cpp,1400,500,800,700,200,400
mutant_7.cpp,1600,8400,7600,6200,100,1600
mutant_8.cpp,1200,6500,7100,7000,100,1300
mutant_9.cpp,1400,8100,6800,5600,400,2400
